name,prefecture,line,x,y,postal,prev,next
二子玉川,東京都,東急大井町線,139.626685,35.611788,1580094,上野毛,
桜上水,東京都,京王線,139.63129,35.66768,1560045,下高井戸,上北沢
祖師ヶ谷大蔵,東京都,小田急小田原線,139.609659,35.643236,1570072,千歳船橋,成城学園前
千歳烏山,東京都,京王線,139.60067,35.667921,1570062,芦花公園,仙川
上野毛,東京都,東急大井町線,139.638917,35.611957,1580093,等々力,二子玉川
等々力,東京都,東急大井町線,139.647938,35.608369,1580082,尾山台,上野毛
代田橋,東京都,京王線,139.659413,35.671092,1560041,笹塚,明大前
桜新町,東京都,東急田園都市線,139.644779,35.631666,1540015,駒沢大学,用賀
尾山台,東京都,東急大井町線,139.653862,35.606971,1580082,九品仏,等々力
下高井戸,東京都,京王線,139.641372,35.66615,1560043,明大前,桜上水
東松原,東京都,京王井の頭線,139.655535,35.662634,1560043,新代田,明大前
千歳船橋,東京都,小田急小田原線,139.624544,35.647616,1560052,経堂,祖師ヶ谷大蔵
奥沢,東京都,東急目黒線,139.672355,35.603947,1580083,大岡山,田園調布
田園調布,東京都,東急東横線,139.667356,35.596815,1450071,自由が丘,多摩川
雪が谷大塚,東京都,東急池上線,139.681083,35.592038,1450066,石川台,御嶽山
自由が丘,東京都,東急大井町線,139.668664,35.607224,1520035,緑が丘,九品仏
明大前,東京都,京王線,139.650352,35.668758,1560043,代田橋,下高井戸
芦花公園,東京都,京王線,139.608247,35.670479,1570062,八幡山,千歳烏山
経堂,東京都,小田急小田原線,139.635993,35.650991,1560052,豪徳寺,千歳船橋
梅ヶ丘,東京都,小田急小田原線,139.653628,35.656024,1540022,世田谷代田,豪徳寺
豪徳寺,東京都,小田急小田原線,139.647381,35.653807,1540021,梅ヶ丘,経堂
駒沢大学,東京都,東急田園都市線,139.661702,35.633471,1540012,三軒茶屋,桜新町
松原,東京都,東急世田谷線,139.642,35.660048,1560044,山下,下高井戸
用賀,東京都,東急田園都市線,139.633928,35.626436,1580097,桜新町,二子玉川
東北沢,東京都,小田急小田原線,139.673014,35.665379,1550031,代々木上原,下北沢
下北沢,東京都,京王井の頭線,139.66691,35.661539,1550031,池ノ上,新代田
仙川,東京都,京王線,139.584908,35.662257,1820002,千歳烏山,つつじヶ丘
上町,東京都,東急世田谷線,139.646276,35.643656,1540017,世田谷,宮の坂
成城学園前,東京都,小田急小田原線,139.598958,35.640114,1570066,祖師ヶ谷大蔵,喜多見
宮の坂,東京都,東急世田谷線,139.64494,35.647508,1540021,上町,山下
世田谷代田,東京都,小田急小田原線,139.661557,35.65834,1550033,下北沢,梅ヶ丘
池ノ上,東京都,京王井の頭線,139.67344,35.660402,1550032,駒場東大前,下北沢
上北沢,東京都,京王線,139.62329,35.668857,1560057,桜上水,八幡山
新代田,東京都,京王井の頭線,139.660524,35.662593,1550033,下北沢,東松原
九品仏,東京都,東急大井町線,139.660992,35.60538,1580083,自由が丘,尾山台
緑が丘,東京都,東急大井町線,139.679482,35.60638,1520034,大岡山,自由が丘
松陰神社前,東京都,東急世田谷線,139.655211,35.643947,1540023,若林,世田谷
祐天寺,東京都,東急東横線,139.690758,35.637163,1530053,中目黒,学芸大学
三軒茶屋,東京都,東急世田谷線,139.670156,35.643716,1540004,,西太子堂
八幡山,東京都,京王線,139.614927,35.669982,1680074,上北沢,芦花公園
久我山,東京都,京王井の頭線,139.599211,35.688139,1680082,富士見ヶ丘,三鷹台
学芸大学,東京都,東急東横線,139.68522,35.628786,1520004,祐天寺,都立大学
富士見ヶ丘,東京都,京王井の頭線,139.607072,35.684805,1680082,高井戸,久我山
池尻大橋,東京都,東急田園都市線,139.684319,35.650603,1530044,渋谷,三軒茶屋
世田谷,東京都,東急世田谷線,139.650945,35.643564,1540017,松陰神社前,上町
若林,東京都,東急世田谷線,139.659912,35.645933,1540023,西太子堂,松陰神社前
石川台,東京都,東急池上線,139.685063,35.596888,1450065,洗足池,雪が谷大塚
都立大学,東京都,東急東横線,139.676393,35.617835,1520031,学芸大学,自由が丘
笹塚,東京都,京王線,139.667251,35.673758,1510073,新宿,代田橋
喜多見,東京都,小田急小田原線,139.587445,35.636697,1570067,成城学園前,狛江
狛江,東京都,小田急小田原線,139.577127,35.632001,2010013,喜多見,和泉多摩川
駒場東大前,東京都,京王井の頭線,139.684308,35.65868,1530041,神泉,池ノ上
大井町,東京都,JR京浜東北線,139.73485,35.606257,1400014,品川,大森
三鷹台,東京都,京王井の頭線,139.589298,35.692046,1810001,久我山,井の頭公園
和泉多摩川,東京都,小田急小田原線,139.573695,35.627349,2010014,狛江,登戸
西太子堂,東京都,東急世田谷線,139.666382,35.644545,1540004,三軒茶屋,若林
山下,東京都,東急世田谷線,139.646509,35.653844,1540021,宮の坂,松原
多摩川,東京都,東急多摩川線,139.668723,35.589591,1450071,,沼部
